댓가	대가	
홧병	화병	
설겆이	설거지	
미쳐	미처	
하마트면	하마터면	
일찌기	일찍이	
곰곰히	곰곰이	
깨끗히	깨끗이	
닥달	닦달	
통채로	통째로	
구렛나(루|룻)	구레나룻	구렛나루, 구렛나룻, 발음 때문에 헷갈리실 수도 있습니다. 구레나룻이 맞습니다.
가벼히	가벼이	
건들이	건드리	
뒤치닥거리	뒤치다꺼리	
넓직한	널찍한	
눈쌀	눈살	
안성마춤	안성맞춤	
서슴치	서슴지	
하마트면	하마터면	
요컨데	요컨대	
웬지	왠지	
일일히	일일이	
궂이	굳이	
도데체	도대체	
연애인	연예인	
뵈요	봬요	
햇갈리다	헷갈리다	
틈틈히	틈틈이	
짭잘하	짭짤하	
거예요	거에요	
따뜻	따듯	
염두해	염두에	
막내동생	막냇동새	
소근	소곤	
애시당초	애당초	
눈꼽	눈곱	
누누히	누누이	
문안하	무난하	
이제서야	이제야	
흉칙	흉측	
욱씬	욱신	
열심이	열심히	
그럿지만	그렇지만	
돼기	되기	
개구장이	개구쟁이	
해씀	했음	
그레	그래	
그러갸	그러게	
뱌보	바보	
누우면	누으면	
아얘	아예	아예는 전적으로라는 의미를 갖습니다. 아얘로 잘못 치셨군요.
왜(운|우)	외$1	왜우다가 아니라 외우다입니다.
돼다	되다	
됍니다	됩니다	
됌	됨	
(됌됌)|(댐댐)이	됨됨이	됌됌이 댐댐이, 됨됨이가 맞는 단어입니다.
댑니다	됩니다	
돼나	되나	
됀다	된다	
햐도	해도	
퇘치	퇴치	
어의	어이	
임신공격	인신공격	
일해라절해라	이래라 저래라	이리하여라 저리하여라'의 줄임말인 '이래라 저래라'로 수정합니다.
이래라절해라	이래라 저래라	이리하여라 저리하여라'의 줄임말인 '이래라 저래라'로 수정합니다.
일해라저래라	이래라 저래라	이리하여라 저리하여라'의 줄임말인 '이래라 저래라'로 수정합니다.
맛추다	맞추다	
맛춰	맞춰	
맛(히|치)다	맞히다	맛히다? 맛치다? 맞히다가 올바른 표현입니다.
고정감염	고정관념	
엄현한	엄연한	
사생활치매	사생활침해	
(니|늬)들	너희	너'의 복수인 '너희'를 사용합니다.\n'희'가 '들'과 같은 복수 접미사이므로 수정합니다.\n'늬들'과 '니들'은 사투리입니다.
함(미|니)다	합니다	함니다? 함니다? 합니다를 잘못 쓰셨네요.
한데	한대	
인터냇	인터넷	
인더냇	인터넷	
인더넷	인터넷	
익쑥	익숙	
할탠(대|데)	할텐데	할텐데가 맞는 표현입니다.
십습니다	싶습니다	
십다	싶다	
께우쳐	깨우쳐	
바다쓰기	받아쓰기	
이잰	이젠	
아닌개	아닌게	
썻나	썼나	
썻다	썼다	
썻어	썼어	
썻고	썼고	
썻기	썼기	
어따대고	얻다대고	
않 했다	안 했다	
하새요	하세요	
주새요	주세요	
미쳣다	미쳤다	
미첫다	미쳤다	
미첬다	미쳤다	
무르플	무릎을	무르플'은 '무릎을'의 발음입니다.
빌리어	빌려	
이에요	예요	
있자나	있잖아	
잇자나	있잖아	
이짜나	있잖아	
뱅기	비행기	
멌져요	멋져요	
멌짐	멋짐	
멌지다	멋지다	
멌있다	멋있다	
멌잇다	멋있다	
맞있다	맛있다	
부러어	부러워	
여지껏	여태껏	여태껏'이 표준어입니다.
업냐	없냐	
할꺼야	할거야	
바듬	받음	
돤다	된다	
바닷다	받았다	
바닫다	받았다	
됬어	됐어	
끗이야	끝이야	
끗났다	끝났다	
끗나	끝나	
할께	할게	
않돼	안돼	
기저기	귀저기	
귀저귀	귀저기	
배개	베개	
배게	베개	
베게	베개	
비게	베개	
설것이	걸거지	
찌개	찌게	
뮤ㅓ	뭐	
자태서	자퇴서	
메니큐어	매니큐어	
어재	어제	
곰지락	꼼지락	
셨다	쉬었다	
케잌	케이크	
케익	케이크	
애기	아기	
예기	얘기	
